2023-06-15 00:05:35 result: , param:10000-111:-1722.5700000000000
2023-06-15 00:05:37 result: , param:10000-111:-1722.5700000000000
2023-06-15 00:05:39 result: , param:10000-111:-1722.5700000000000
2023-06-15 00:05:41 result: , param:10000-111:-1722.5700000000000
2023-06-15 00:05:43 result: , param:10000-111:-1722.5700000000000
2023-06-15 00:05:45 result: , param:10000-111:-1725.2900000000000
2023-06-15 00:05:47 result: , param:10000-111:-1725.2900000000000
2023-06-15 00:05:49 result: , param:10000-111:-1725.2900000000000
2023-06-15 00:05:51 result: , param:10000-111:-1725.2900000000000
2023-06-15 00:05:53 result: , param:10000-111:-1725.2900000000000
2023-06-15 00:05:55 result: , param:10000-111:-1725.2900000000000
2023-06-15 00:05:57 result: , param:10000-111:-1725.2900000000000
2023-06-15 00:05:59 result: , param:10000-111:-1725.2900000000000
2023-06-15 00:06:01 result: , param:10000-111:-1725.2900000000000
2023-06-15 00:06:03 result: , param:10000-111:-1725.2900000000000
2023-06-15 00:06:05 result: , param:10000-111:-1725.2900000000000
2023-06-15 00:06:07 result: , param:10000-111:-1725.2900000000000
2023-06-15 00:06:09 result: , param:10000-111:-1725.2700000000000
2023-06-15 00:06:11 result: , param:10000-111:-1725.2700000000000
2023-06-15 00:06:13 result: , param:10000-111:-1725.2700000000000
2023-06-15 00:06:15 result: , param:10000-111:-1725.2900000000000
2023-06-15 00:06:17 result: , param:10000-111:-1725.2900000000000
2023-06-15 00:06:19 result: , param:10000-111:-1725.2900000000000
2023-06-15 00:06:21 result: , param:10000-111:-1725.2900000000000
2023-06-15 00:06:23 result: , param:10000-111:-1725.2700000000000
2023-06-15 00:06:25 result: , param:10000-111:-1725.2700000000000
2023-06-15 00:06:28 result: , param:10000-111:-1725.2900000000000
2023-06-15 00:06:30 result: , param:10000-111:-1725.2900000000000
2023-06-15 00:06:32 result: , param:10000-111:-1735.2900000000000
2023-06-15 00:06:34 result: , param:10000-111:-1735.2700000000000
2023-06-15 00:06:36 result: , param:10000-111:-1735.2700000000000
2023-06-15 00:06:38 result: , param:10000-111:-1735.2700000000000
2023-06-15 00:06:40 result: , param:10000-111:-1735.2700000000000
2023-06-15 00:06:42 result: , param:10000-111:-1735.2500000000000
2023-06-15 00:06:44 result: , param:10000-111:-1735.2500000000000
2023-06-15 00:06:46 result: , param:10000-111:-1735.2500000000000
2023-06-15 00:06:48 result: , param:10000-111:-1735.2500000000000
2023-06-15 00:06:50 result: , param:10000-111:-1735.2500000000000
2023-06-15 00:06:52 result: , param:10000-111:-1735.2500000000000
2023-06-15 00:06:54 result: , param:10000-111:-1735.2500000000000
2023-06-15 00:06:56 result: , param:10000-111:-1735.2500000000000
2023-06-15 00:06:58 result: , param:10000-111:-1735.2500000000000
2023-06-15 00:07:00 result: , param:10000-111:-1735.2500000000000
2023-06-15 00:07:02 result: , param:10000-111:-1735.2500000000000
2023-06-15 00:07:04 result: , param:10000-111:-1735.2500000000000
2023-06-15 00:07:06 result: , param:10000-111:-1735.2500000000000
2023-06-15 00:07:08 result: , param:10000-111:-1735.2500000000000
2023-06-15 00:07:10 result: , param:10000-111:-1735.2500000000000
2023-06-15 00:07:12 result: , param:10000-111:-1735.2500000000000
2023-06-15 00:07:14 result: , param:10000-111:-1735.2700000000000
2023-06-15 00:07:16 result: , param:10000-111:-1735.2700000000000
2023-06-15 00:07:18 result: , param:10000-111:-1735.2700000000000
2023-06-15 00:07:20 result: , param:10000-111:-1735.2700000000000
2023-06-15 00:07:22 result: , param:10000-111:-1735.2500000000000
2023-06-15 00:07:24 result: , param:10000-111:-1735.2500000000000
2023-06-15 00:07:26 result: , param:10000-111:-1735.2500000000000
2023-06-15 00:07:28 result: , param:10000-111:-1735.2500000000000
2023-06-15 00:07:30 result: , param:10000-111:-1735.2500000000000
2023-06-15 00:07:32 result: , param:10000-111:-1735.2500000000000
2023-06-15 00:07:34 result: , param:10000-111:-1735.2500000000000
2023-06-15 00:07:36 result: , param:10000-111:-1735.2500000000000
2023-06-15 00:07:38 result: , param:10000-111:-1735.2500000000000
2023-06-15 00:07:40 result: , param:10000-111:-1735.2500000000000
