2023-06-23 00:04:48 result: , param:15068.59-111:-3304.3000000000000
2023-06-23 00:04:50 result: , param:15068.59-111:-3277.8000000000000
2023-06-23 00:04:52 result: , param:15068.59-111:-3322.0000000000000
2023-06-23 00:04:54 result: , param:15068.59-111:-3301.3000000000000
2023-06-23 00:04:56 result: , param:15068.59-111:-3218.1000000000000
2023-06-23 00:04:58 result: , param:15068.59-111:-3262.0000000000000
2023-06-23 00:05:00 result: , param:15068.59-111:-3262.0000000000000
2023-06-23 00:05:02 result: , param:15068.59-111:-3262.0000000000000
2023-06-23 00:05:04 result: , param:15068.59-111:-3154.2000000000000
2023-06-23 00:05:06 result: , param:15068.59-111:-2997.4000000000000
2023-06-23 00:05:08 result: , param:15068.59-111:-2997.4000000000000
2023-06-23 00:05:10 result: , param:15068.59-111:-2997.4000000000000
2023-06-23 00:05:12 result: , param:15068.59-111:-3001.1000000000000
2023-06-23 00:05:14 result: , param:15068.59-111:-3001.0000000000000
2023-06-23 00:05:16 result: , param:15068.59-111:-2821.6000000000000
2023-06-23 00:05:18 result: , param:15068.59-111:-2614.2000000000000
2023-06-23 00:05:20 result: , param:15068.59-111:-2588.3000000000000
2023-06-23 00:05:22 result: , param:15068.59-111:-2545.6000000000000
2023-06-23 00:05:24 result: , param:15068.59-111:-2538.0000000000000
2023-06-23 00:05:26 result: , param:15068.59-111:-2489.8000000000000
2023-06-23 00:05:28 result: , param:15068.59-111:-2655.6000000000000
2023-06-23 00:05:30 result: , param:15068.59-111:-2620.9000000000000
2023-06-23 00:05:32 result: , param:15068.59-111:-2547.1000000000000
2023-06-23 00:05:34 result: , param:15068.59-111:-2547.1000000000000
2023-06-23 00:05:36 result: , param:15068.59-111:-2486.2000000000000
2023-06-23 00:05:38 result: , param:15068.59-111:-2534.3000000000000
2023-06-23 00:05:40 result: , param:15068.59-111:-2707.2000000000000
2023-06-23 00:05:42 result: , param:15068.59-111:-2577.3000000000000
2023-06-23 00:05:44 result: , param:15068.59-111:-2486.1000000000000
2023-06-23 00:05:46 result: , param:15068.59-111:-2472.4000000000000
2023-06-23 00:05:48 result: , param:15068.59-111:-2372.3000000000000
2023-06-23 00:05:50 result: , param:15068.59-111:-2332.4000000000000
2023-06-23 00:05:52 result: , param:15068.59-111:-2332.4000000000000
2023-06-23 00:05:55 result: , param:15068.59-111:-2332.3000000000000
2023-06-23 00:05:57 result: , param:15068.59-111:-2072.3000000000000
2023-06-23 00:05:59 result: , param:15068.59-111:-2080.2000000000000
2023-06-23 00:06:01 result: , param:15068.59-111:-2092.3000000000000
2023-06-23 00:06:03 result: , param:15068.59-111:-2023.8000000000000
2023-06-23 00:06:05 result: , param:15068.59-111:-1952.4000000000000
2023-06-23 00:06:07 result: , param:15068.59-111:-1872.4000000000000
2023-06-23 00:06:09 result: , param:15068.59-111:-1772.2000000000000
2023-06-23 00:06:11 result: , param:15068.59-111:-1866.9000000000000
2023-06-23 00:06:13 result: , param:15068.59-111:-1895.6000000000000
2023-06-23 00:06:15 result: , param:15068.59-111:-1970.1000000000000
2023-06-23 00:06:17 result: , param:15068.59-111:-1960.0000000000000
2023-06-23 00:06:19 result: , param:15068.59-111:-2049.7000000000000
