2023-06-29 00:09:41 result: , param:15068.59-111:2511.8000000000000
2023-06-29 00:09:43 result: , param:15068.59-111:2511.8000000000000
2023-06-29 00:09:45 result: , param:15068.59-111:2511.8000000000000
2023-06-29 00:09:47 result: , param:15068.59-111:2511.8000000000000
2023-06-29 00:09:49 result: , param:15068.59-111:2511.8000000000000
2023-06-29 00:09:51 result: , param:15068.59-111:2511.8000000000000
2023-06-29 00:09:53 result: , param:15068.59-111:2511.9000000000000
2023-06-29 00:09:55 result: , param:15068.59-111:2504.8000000000000
2023-06-29 00:09:57 result: , param:15068.59-111:2504.8000000000000
2023-06-29 00:09:59 result: , param:15068.59-111:2454.7000000000000
2023-06-29 00:10:01 result: , param:15068.59-111:2454.7000000000000
2023-06-29 00:10:03 result: , param:15068.59-111:2464.8000000000000
2023-06-29 00:10:05 result: , param:15068.59-111:2464.8000000000000
2023-06-29 00:10:07 result: , param:15068.59-111:2484.4000000000000
2023-06-29 00:10:09 result: , param:15068.59-111:2517.7000000000000
2023-06-29 00:10:11 result: , param:15068.59-111:2517.7000000000000
2023-06-29 00:10:13 result: , param:15068.59-111:2522.6000000000000
2023-06-29 00:10:15 result: , param:15068.59-111:2572.7000000000000
2023-06-29 00:10:17 result: , param:15068.59-111:2617.7000000000000
2023-06-29 00:10:19 result: , param:15068.59-111:2617.7000000000000
2023-06-29 00:10:21 result: , param:15068.59-111:2644.5000000000000
2023-06-29 00:10:23 result: , param:15068.59-111:2644.5000000000000
2023-06-29 00:10:25 result: , param:15068.59-111:2597.2000000000000
2023-06-29 00:10:28 result: , param:15068.59-111:2597.2000000000000
2023-06-29 00:10:30 result: , param:15068.59-111:2635.2000000000000
2023-06-29 00:10:32 result: , param:15068.59-111:2635.2000000000000
2023-06-29 00:10:34 result: , param:15068.59-111:2635.2000000000000
2023-06-29 00:10:36 result: , param:15068.59-111:2671.7000000000000
2023-06-29 00:10:38 result: , param:15068.59-111:2671.7000000000000
2023-06-29 00:10:40 result: , param:15068.59-111:2671.6000000000000
2023-06-29 00:10:42 result: , param:15068.59-111:2695.4000000000000
2023-06-29 00:10:44 result: , param:15068.59-111:2747.7000000000000
2023-06-29 00:10:46 result: , param:15068.59-111:2747.6000000000000
2023-06-29 00:10:48 result: , param:15068.59-111:2727.7000000000000
2023-06-29 00:10:50 result: , param:15068.59-111:2678.5000000000000
2023-06-29 00:10:52 result: , param:15068.59-111:2678.6000000000000
2023-06-29 00:10:54 result: , param:15068.59-111:2722.2000000000000
2023-06-29 00:10:56 result: , param:15068.59-111:2722.2000000000000
2023-06-29 00:10:58 result: , param:15068.59-111:2727.6000000000000
2023-06-29 00:11:00 result: , param:15068.59-111:2727.7000000000000
2023-06-29 00:11:02 result: , param:15068.59-111:2727.7000000000000
2023-06-29 00:11:04 result: , param:15068.59-111:2727.6000000000000
2023-06-29 00:11:06 result: , param:15068.59-111:2684.6000000000000
2023-06-29 00:11:08 result: , param:15068.59-111:2616.0000000000000
2023-06-29 00:11:10 result: , param:15068.59-111:2616.0000000000000
2023-06-29 00:11:12 result: , param:15068.59-111:2616.0000000000000
2023-06-29 00:11:14 result: , param:15068.59-111:2616.0000000000000
2023-06-29 00:11:16 result: , param:15068.59-111:2616.0000000000000
2023-06-29 00:11:18 result: , param:15068.59-111:2616.0000000000000
2023-06-29 00:11:20 result: , param:15068.59-111:2615.9000000000000
2023-06-29 00:11:22 result: , param:15068.59-111:2615.9000000000000
2023-06-29 00:11:24 result: , param:15068.59-111:2592.7000000000000
2023-06-29 00:11:26 result: , param:15068.59-111:2592.7000000000000
2023-06-29 00:11:28 result: , param:15068.59-111:2592.7000000000000
2023-06-29 00:11:30 result: , param:15068.59-111:2547.4000000000000
2023-06-29 00:11:32 result: , param:15068.59-111:2547.4000000000000
2023-06-29 00:11:34 result: , param:15068.59-111:2547.4000000000000
2023-06-29 00:11:36 result: , param:15068.59-111:2437.7000000000000
2023-06-29 00:11:38 result: , param:15068.59-111:2417.8000000000000
2023-06-29 00:11:40 result: , param:15068.59-111:2417.8000000000000
2023-06-29 00:11:42 result: , param:15068.59-111:2417.8000000000000
2023-06-29 00:11:44 result: , param:15068.59-111:2417.8000000000000
2023-06-29 00:11:46 result: , param:15068.59-111:2342.1000000000000
2023-06-29 00:11:48 result: , param:15068.59-111:2337.7000000000000
2023-06-29 00:11:50 result: , param:15068.59-111:2297.7000000000000
2023-06-29 00:11:52 result: , param:15068.59-111:2297.7000000000000
2023-06-29 00:11:54 result: , param:15068.59-111:2295.3000000000000
2023-06-29 00:11:56 result: , param:15068.59-111:2182.2000000000000
2023-06-29 00:11:58 result: , param:15068.59-111:2264.5000000000000
2023-06-29 00:12:00 result: , param:15068.59-111:2122.4000000000000
2023-06-29 00:12:02 result: , param:15068.59-111:2097.7000000000000
2023-06-29 00:12:04 result: , param:15068.59-111:2137.8000000000000
2023-06-29 00:12:06 result: , param:15068.59-111:2137.9000000000000
2023-06-29 00:12:09 result: , param:15068.59-111:2202.3000000000000
2023-06-29 00:12:11 result: , param:15068.59-111:2267.3000000000000
2023-06-29 00:12:13 result: , param:15068.59-111:2267.3000000000000
2023-06-29 00:12:15 result: , param:15068.59-111:2282.1000000000000
2023-06-29 00:12:17 result: , param:15068.59-111:2282.1000000000000
2023-06-29 00:12:19 result: , param:15068.59-111:2282.1000000000000
2023-06-29 00:12:21 result: , param:15068.59-111:2191.5000000000000
2023-06-29 00:12:23 result: , param:15068.59-111:2202.1000000000000
2023-06-29 00:12:25 result: , param:15068.59-111:2202.0000000000000
2023-06-29 00:12:27 result: , param:15068.59-111:2242.1000000000000
2023-06-29 00:12:29 result: , param:15068.59-111:2242.0000000000000
2023-06-29 00:12:31 result: , param:15068.59-111:2151.0000000000000
2023-06-29 00:12:33 result: , param:15068.59-111:2192.8000000000000
2023-06-29 00:12:35 result: , param:15068.59-111:2234.0000000000000
2023-06-29 00:12:37 result: , param:15068.59-111:2234.0000000000000
2023-06-29 00:12:39 result: , param:15068.59-111:2233.9000000000000
2023-06-29 00:12:41 result: , param:15068.59-111:2195.6000000000000
2023-06-29 00:12:43 result: , param:15068.59-111:2195.6000000000000
2023-06-29 00:12:45 result: , param:15068.59-111:2195.5000000000000
2023-06-29 00:12:47 result: , param:15068.59-111:2155.4000000000000
2023-06-29 00:12:49 result: , param:15068.59-111:2092.1000000000000
2023-06-29 00:12:51 result: , param:15068.59-111:2092.1000000000000
2023-06-29 00:12:53 result: , param:15068.59-111:2092.1000000000000
2023-06-29 00:12:55 result: , param:15068.59-111:2092.1000000000000
2023-06-29 00:12:57 result: , param:15068.59-111:2092.1000000000000
2023-06-29 00:12:59 result: , param:15068.59-111:2103.9000000000000
2023-06-29 00:13:01 result: , param:15068.59-111:2092.4000000000000
2023-06-29 00:13:03 result: , param:15068.59-111:2092.4000000000000
2023-06-29 00:13:05 result: , param:15068.59-111:2092.4000000000000
2023-06-29 00:13:07 result: , param:15068.59-111:2067.8000000000000
2023-06-29 00:13:09 result: , param:15068.59-111:2067.8000000000000
2023-06-29 00:13:11 result: , param:15068.59-111:2067.7000000000000
2023-06-29 00:13:13 result: , param:15068.59-111:1977.7000000000000
2023-06-29 00:13:15 result: , param:15068.59-111:1947.8000000000000
2023-06-29 00:13:17 result: , param:15068.59-111:1897.7000000000000
2023-06-29 00:13:19 result: , param:15068.59-111:1887.7000000000000
2023-06-29 00:13:21 result: , param:15068.59-111:1877.6000000000000
2023-06-29 00:13:23 result: , param:15068.59-111:1877.6000000000000
2023-06-29 00:13:25 result: , param:15068.59-111:1847.8000000000000
2023-06-29 00:13:27 result: , param:15068.59-111:1837.7000000000000
2023-06-29 00:13:29 result: , param:15068.59-111:1817.8000000000000
2023-06-29 00:13:31 result: , param:15068.59-111:1817.8000000000000
2023-06-29 00:13:33 result: , param:15068.59-111:1880.5000000000000
2023-06-29 00:13:35 result: , param:15068.59-111:1864.4000000000000
2023-06-29 00:13:37 result: , param:15068.59-111:1864.4000000000000
